train_mae,train_rmse,train_TP,train_FP,train_FN,train_precision,train_recall,train_f1,||,val_mae,val_rmse,val_TP,val_FP,val_FN,val_precision,val_recall,val_f1,||,test_mae,test_rmse,test_TP,test_FP,test_FN,test_precision,test_recall,test_f1
12.2378,26.5367,49880,50030,126170,0.4992,0.2833,0.3615,||,8.6181,20.242,29214,29659,24939,0.4962,0.5395,0.5169,||,9.3129,22.9987,31841,29661,24577,0.5177,0.5644,0.54
7.2955,17.6941,96373,79411,79677,0.5482,0.5474,0.5478,||,7.199,19.058,30095,24618,24058,0.5501,0.5557,0.5529,||,7.5497,22.4806,32693,25388,23725,0.5629,0.5795,0.5711
6.3721,15.9666,101611,73924,74439,0.5789,0.5772,0.578,||,6.6769,17.8176,30997,23006,23156,0.574,0.5724,0.5732,||,7.0455,22.1051,32613,23593,23805,0.5802,0.5781,0.5791
6.0289,14.5649,108718,66237,67332,0.6214,0.6175,0.6195,||,7.1175,17.8614,34842,25455,19311,0.5778,0.6434,0.6089,||,7.805,21.3384,37319,27875,19099,0.5724,0.6615,0.6137
5.7288,13.9638,111578,64828,64472,0.6325,0.6338,0.6331,||,6.8037,16.7168,34281,27453,19872,0.5553,0.633,0.5916,||,6.9084,19.9616,36027,27150,20391,0.5703,0.6386,0.6025
5.2207,12.029,111449,65111,64601,0.6312,0.6331,0.6321,||,6.467,16.8907,33630,24925,20523,0.5743,0.621,0.5968,||,6.71,20.7219,35156,24490,21262,0.5894,0.6231,0.6058
5.0219,11.985,109845,64131,66205,0.6314,0.6239,0.6276,||,6.1757,16.7811,33332,23063,20821,0.591,0.6155,0.603,||,6.1207,18.2493,34859,22417,21559,0.6086,0.6179,0.6132
4.7508,11.0376,110074,62711,65976,0.6371,0.6252,0.6311,||,6.2638,16.2777,33477,23818,20676,0.5843,0.6182,0.6008,||,6.4658,20.2501,35398,23681,21020,0.5992,0.6274,0.613
4.4279,9.651,112317,58749,63733,0.6566,0.638,0.6471,||,6.1936,16.2311,34943,23844,19210,0.5944,0.6453,0.6188,||,6.2733,19.5958,36219,23206,20199,0.6095,0.642,0.6253
4.5461,10.6948,115619,56375,60431,0.6722,0.6567,0.6644,||,5.8615,16.7301,32870,19993,21283,0.6218,0.607,0.6143,||,5.8001,19.9259,34272,19938,22146,0.6322,0.6075,0.6196
4.3716,10.1067,115325,56721,60725,0.6703,0.6551,0.6626,||,5.9242,16.5297,34046,22090,20107,0.6065,0.6287,0.6174,||,5.8353,19.5177,34830,20368,21588,0.631,0.6174,0.6241
4.2771,10.2287,116450,54141,59600,0.6826,0.6615,0.6719,||,6.396,17.43,35869,22821,18284,0.6112,0.6624,0.6357,||,6.2061,19.6302,36358,21616,20060,0.6271,0.6444,0.6357
4.2478,9.7435,116821,53547,59229,0.6857,0.6636,0.6745,||,5.9667,16.4102,33858,22338,20295,0.6025,0.6252,0.6137,||,5.9431,20.8317,34509,21227,21909,0.6192,0.6117,0.6154
4.1884,9.5742,114686,55763,61364,0.6728,0.6514,0.662,||,6.0674,17.5735,32559,21109,21594,0.6067,0.6012,0.6039,||,6.1253,19.9266,32938,18985,23480,0.6344,0.5838,0.608
4.0958,9.8551,116665,54932,59385,0.6799,0.6627,0.6712,||,6.6769,17.6147,36820,26085,17333,0.5853,0.6799,0.6291,||,6.3959,19.7706,37568,23693,18850,0.6132,0.6659,0.6385
0,0,0,0,0,0,0,0,||,0,0,0,0,0,0,0,0,||,5.8001,19.9259,34272,19938,22146,0.6322,0.6075,0.6196
